Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Klaster
SULAWESI UTARA,Kota Kotamobagu,2497919,7.32,1
SULAWESI TENGAH,Banggai Kepulauan,2735237,2.95,0
SULAWESI TENGAH,Banggai,18864238,3.57,0
SULAWESI TENGAH,Morowali,54916245,5.08,0
SULAWESI TENGAH,Poso,6523785,2.47,0
SULAWESI TENGAH,Donggala,8544440,3.5,0
SULAWESI TENGAH,Toli-Toli,5776241,3.13,0
SULAWESI TENGAH,Buol,4029741,3.64,0
SULAWESI TENGAH,Parigi Moutong,11621816,2.97,0
SULAWESI TENGAH,Tojo Una-Una,3878590,3.44,0
SULAWESI TENGAH,Sigi,6426753,2.38,0
SULAWESI TENGAH,Banggai Laut,1678039,3.35,0
SULAWESI TENGAH,Morowali Utara,8916699,2.98,0
SULAWESI TENGAH,Kota Palu,16385580,7.61,1
SULAWESI SELATAN,Kepulauan Selayar,3765558,2.81,0
SULAWESI SELATAN,Bulukumba,9013584,3.14,0
SULAWESI SELATAN,Bantaeng,6151447,4.07,0
SULAWESI SELATAN,Jeneponto,7058350,2.38,0
SULAWESI SELATAN,Takalar,6908048,3.93,0
SULAWESI SELATAN,Gowa,15043696,4.3,0
SULAWESI SELATAN,Sinjai,7576835,2.61,0
SULAWESI SELATAN,Maros,12400617,6.3,1
SULAWESI SELATAN,Pangkajene Dan Kepulauan,17500610,5.86,0
SULAWESI SELATAN,Barru,5069995,6.74,1
SULAWESI SELATAN,Bone,23273868,4.15,0
SULAWESI SELATAN,Soppeng,7585976,3.92,0
SULAWESI SELATAN,Wajo,13569283,4.32,0
SULAWESI SELATAN,Sidenreng Rappang,8866074,4.93,0
SULAWESI SELATAN,Pinrang,13472493,4.06,0
SULAWESI SELATAN,Enrekang,4884373,2.34,0
SULAWESI SELATAN,Luwu,10449750,4.8,0
SULAWESI SELATAN,Tana Toraja,4780984,3.09,0
SULAWESI SELATAN,Luwu Utara,8491499,3.91,0
SULAWESI SELATAN,Luwu Timur,16030502,4.96,0
SULAWESI SELATAN,Toraja Utara,5357129,2.61,0
SULAWESI SELATAN,Kota Makassar,126312828,13.18,1
SULAWESI SELATAN,Kota Parepare,5161916,6.72,1
SULAWESI SELATAN,Kota Palopo,5768275,8.83,1
SULAWESI TENGGARA,Buton,2847090,4.74,0
SULAWESI TENGGARA,Muna,5229546,4.97,0
SULAWESI TENGGARA,Konawe,7826408,4.56,0
SULAWESI TENGGARA,Kolaka,18999351,3.62,0
SULAWESI TENGGARA,Konawe Selatan,8655572,2.14,0
SULAWESI TENGGARA,Bombana,4873717,3.17,0
SULAWESI TENGGARA,Wakatobi,3220931,2.3,0
SULAWESI TENGGARA,Kolaka Utara,6525446,3.18,0
SULAWESI TENGGARA,Buton Utara,2342595,3.0,0
SULAWESI TENGGARA,Konawe Utara,2957837,3.36,0
SULAWESI TENGGARA,Kolaka Timur,3413957,3.44,0
SULAWESI TENGGARA,Konawe Kepulauan,1071100,1.83,0
SULAWESI TENGGARA,Muna Barat,1926498,2.84,0
SULAWESI TENGGARA,Buton Tengah,1760036,3.77,0
SULAWESI TENGGARA,Buton Selatan,2080195,3.92,0
SULAWESI TENGGARA,Kota Kendari,17165185,5.19,0
SULAWESI TENGGARA,Kota Baubau,6844689,6.87,1
GORONTALO,Boalemo,3567638,3.57,0
GORONTALO,Gorontalo,9082312,2.12,0
GORONTALO,Pohuwato,4703613,2.45,0
GORONTALO,Bone Bolango,3224680,3.45,0
GORONTALO,Gorontalo Utara,2376146,2.3,0
GORONTALO,Kota Gorontalo,6345632,4.55,0
SULAWESI BARAT,Majene,3598959,2.85,0
SULAWESI BARAT,Polewali Mandar,9414992,3.38,0
SULAWESI BARAT,Mamasa,2255608,2.18,0
SULAWESI BARAT,Mamuju,8342016,3.79,0
SULAWESI BARAT,Mamuju Utara,7389296,3.13,0
SULAWESI BARAT,Mamuju Tengah,2282748,2.52,0
MALUKU,Maluku Tenggara Barat,1749807,4.4,0
MALUKU,Maluku Tenggara,2034006,5.06,0
MALUKU,Maluku Tengah,6028166,8.07,1
MALUKU,Buru,1611262,4.85,0
MALUKU,Kepulauan Aru,2356727,1.55,0
MALUKU,Seram Bagian Barat,2030114,5.65,0
MALUKU,Seram Bagian Timur,1966542,3.88,0
MALUKU,Maluku Barat Daya,1091807,1.8,0
MALUKU,Buru Selatan,923245,1.63,0
MALUKU,Kota Ambon,10591813,11.32,1
MALUKU,Kota Tual,1550124,8.71,1
MALUKU UTARA,Halmahera Barat,1554088,3.26,0
MALUKU UTARA,Halmahera Tengah,5225848,4.23,0
MALUKU UTARA,Kepulauan Sula,1663354,2.78,0
MALUKU UTARA,Halmahera Selatan,6532022,1.94,0
MALUKU UTARA,Halmahera Utara,3870036,8.01,1
MALUKU UTARA,Halmahera Timur,2491395,6.78,1
MALUKU UTARA,Pulau Morotai,1083770,6.27,0
MALUKU UTARA,Pulau Taliabu,1128880,6.1,0
MALUKU UTARA,Kota Ternate,7394964,5.7,0
MALUKU UTARA,Kota Tidore Kepulauan,2062850,2.81,0
PAPUA BARAT,Fakfak,3474011,7.9,1
PAPUA BARAT,Kaimana,1716123,3.23,0
PAPUA BARAT,Teluk Wondama,990094,2.9,0
PAPUA BARAT,Teluk Bintuni,25061823,4.74,0
PAPUA BARAT,Manokwari,6593321,7.04,1
PAPUA BARAT,Sorong Selatan,1300536,3.55,0
PAPUA BARAT,Sorong,8520874,3.36,0
PAPUA BARAT,Raja Ampat,2590412,3.81,0
PAPUA BARAT,Tambrauw,147485,1.49,0
