Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Klaster
JAWA BARAT,Cianjur,0.004801617544840109,4.268528455822532e-09,0.9951983781866315,1.1281076443440253e-130,2
JAWA BARAT,Bandung,5.805023462679708e-29,1.9003887473061058e-05,0.9999809961125271,0.0,2
JAWA BARAT,Garut,0.0001395979711970052,6.519407366439548e-10,0.9998604013768624,4.617024738051016e-203,2
JAWA BARAT,Tasikmalaya,0.5403672586108754,2.4019203008538533e-20,0.45963274138912474,2.2361741951745123e-72,0
JAWA BARAT,Ciamis,0.760630964634173,1.828714036377711e-20,0.23936903536582702,1.4510644906667026e-56,0
JAWA BARAT,Kuningan,0.004816186758584802,7.778896968688967e-07,0.995183035351718,1.4284085447427483e-28,2
JAWA BARAT,Cirebon,0.0010971109321913275,4.607068635186043e-08,0.998902842997122,7.361304352019936e-142,2
JAWA BARAT,Majalengka,0.7937490358519741,5.173840381862542e-25,0.2062509641480259,3.595978013889338e-58,0
JAWA BARAT,Sumedang,0.09055030829290833,4.472513227705279e-09,0.9094496872345783,4.682296469618169e-65,2
JAWA BARAT,Indramayu,6.632791658734384e-12,5.423841420101748e-14,0.9999999999933129,0.0,2
JAWA BARAT,Subang,0.010534288981076225,1.022183140131765e-06,0.9894646888357836,5.341410451434971e-97,2
JAWA BARAT,Purwakarta,1.1119214665112824e-07,0.0015068917438038132,0.9984929970640497,2.947590237737411e-283,2
JAWA BARAT,Karawang,3.0476556307476767e-133,0.9999364239176894,6.357608231073084e-05,0.0,1
JAWA BARAT,Bekasi,0.0,0.9999999999999556,4.4597791315437955e-14,0.0,1
JAWA BARAT,Bandung Barat,0.0003256810789944901,0.00013897602505595047,0.9995353428959497,1.9635263001786027e-118,2
JAWA BARAT,Pangandaran,0.9838817255442813,6.047486981658352e-34,0.015741531320748334,0.0003767431349703038,0
JAWA BARAT,Kota Bogor,6.0844793820926875e-05,0.09996723969673915,0.8999719155094398,2.6242261123948344e-130,2
JAWA BARAT,Kota Sukabumi,0.00764149492763608,0.0018245107801102298,0.9899213394754965,0.0006126548167573326,2
JAWA BARAT,Kota Bandung,6.20072831009158e-202,0.9999999558329319,4.4167067778278296e-08,0.0,1
JAWA BARAT,Kota Cirebon,0.027260416248182588,2.5503294730256913e-05,0.9727140804570872,1.3025211171283568e-26,2
JAWA BARAT,Kota Bekasi,3.673722041778705e-19,0.1677846808920406,0.8322153191079597,0.0,2
JAWA BARAT,Kota Depok,9.670741401299519e-09,0.002651482771373849,0.9973485075578847,6.4945e-320,2
JAWA BARAT,Kota Cimahi,5.3894251644619506e-05,0.30181323501538165,0.6981328707329736,3.3947586699259183e-54,2
JAWA BARAT,Kota Tasikmalaya,0.7723520681261767,1.2831113060059558e-18,0.22764793187382332,9.248931240564458e-24,0
JAWA BARAT,Kota Banjar,0.271426609953598,1.2124860713582947e-16,0.03500799694196971,0.6935653931044322,3
JAWA TENGAH,Cilacap,4.555422027354447e-34,5.814991812940747e-06,0.9999941850081873,0.0,2
JAWA TENGAH,Banyumas,0.0005017235037838249,8.347733029355414e-25,0.9994982764962163,5.971069917235049e-217,2
JAWA TENGAH,Purbalingga,0.9662276325183377,1.2896945607424693e-33,0.033772367481662194,7.556497499468143e-33,0
JAWA TENGAH,Banjarnegara,0.9757115669104788,8.902026206670916e-35,0.024288433089521298,8.057167857744576e-24,0
JAWA TENGAH,Kebumen,0.9740273929737113,3.124279621831739e-38,0.025972607026288865,1.1439480444081778e-45,0
JAWA TENGAH,Purworejo,0.978917529466414,1.659107836605314e-37,0.021082470533586004,2.4736467632977e-17,0
JAWA TENGAH,Wonosobo,0.9906648141985889,1.2820208863215323e-42,0.009335185801411211,4.928004697743907e-19,0
JAWA TENGAH,Magelang,0.7672968997225288,2.731762059342569e-27,0.23270310027747126,7.845797359607542e-64,0
JAWA TENGAH,Boyolali,0.7422983408809684,1.803895425770601e-24,0.25770165911903176,7.320728117568402e-62,0
JAWA TENGAH,Klaten,0.395899030537139,6.937594482460537e-28,0.6041009694628611,1.8539084447117132e-98,2
JAWA TENGAH,Sukoharjo,0.26674276882936526,1.8073999040719698e-28,0.7332572311706351,1.373992217559735e-90,2
JAWA TENGAH,Wonogiri,0.8476990878803333,3.7552876188200904e-41,0.15230091211966648,3.0619900167686143e-51,0
JAWA TENGAH,Karanganyar,0.3741967114527582,1.821200285337559e-20,0.6258032885472419,2.6378326117354273e-85,2
JAWA TENGAH,Sragen,0.5624865755839153,1.6204357026404723e-32,0.43751342441608476,2.773067481072643e-90,0
JAWA TENGAH,Grobogan,0.9264151075826559,4.46095750925657e-33,0.07358489241734407,2.1631984711149828e-44,0
JAWA TENGAH,Blora,0.9532461528044351,1.1188739925989295e-35,0.04675384719556475,6.575699707428811e-35,0
JAWA TENGAH,Rembang,0.9891415899118549,2.7321424850813506e-46,0.01085841008814517,5.104786969918816e-19,0
JAWA TENGAH,Pati,0.06384823999879587,3.9309975352389726e-25,0.9361517600012043,1.2391032917542551e-122,2
JAWA TENGAH,Kudus,2.3213273735871304e-20,1.3008656893704256e-22,1.0,0.0,2
JAWA TENGAH,Jepara,0.8330093943096423,1.1107030738742194e-23,0.16699060569035787,3.902423692864936e-52,0
JAWA TENGAH,Demak,0.9322234037550132,5.916380810591341e-29,0.06777659624498684,1.3217135931429074e-37,0
JAWA TENGAH,Semarang,0.003510875941276971,2.9223616522526697e-19,0.9964891240587228,6.6634511891997e-162,2
JAWA TENGAH,Temanggung,0.9660541485189733,6.450331502041267e-38,0.033945851481026725,1.7740614048693467e-23,0
JAWA TENGAH,Kendal,0.030884168115668176,4.216163404524824e-13,0.9691158318839104,2.1787995333110098e-120,2
JAWA TENGAH,Batang,0.8668547125370031,4.259928624654841e-17,0.13314528746299698,1.0762260744305605e-22,0
JAWA TENGAH,Pekalongan,0.9554413306287514,2.1446825658513828e-29,0.044558669371248624,1.4173030020817356e-27,0
JAWA TENGAH,Pemalang,0.9462398568102626,4.979213969462369e-31,0.05376014318973739,5.163245863525963e-38,0
JAWA TENGAH,Tegal,0.019932774936829684,5.0212714608050956e-05,0.9800170123485621,4.9621725221965416e-70,2
JAWA TENGAH,Brebes,0.02743173820063308,2.223108321965744e-19,0.9725682617993668,8.446222655344546e-139,2
JAWA TENGAH,Kota Magelang,0.15015750347072565,1.2591452805468162e-07,0.5217505936795209,0.3280917769352251,2
JAWA TENGAH,Kota Surakarta,0.001929017190668615,7.066546128846506e-11,0.9980709827386658,1.3073451759635237e-162,2
JAWA TENGAH,Kota Salatiga,0.8532626414208869,2.4883979361952656e-10,0.1466919204454063,4.543788486715156e-05,0
JAWA TENGAH,Kota Semarang,6.377376475743329e-100,0.9911509307268562,0.008849069273143583,0.0,1
JAWA TENGAH,Kota Pekalongan,0.8185837618042417,1.6611126562873646e-13,0.15763518626198983,0.023781051933602342,0
JAWA TENGAH,Kota Tegal,0.5174282547468473,3.1983349441902866e-09,0.48257170892917095,3.3125646911184246e-08,0
D I YOGYAKARTA,Kulon Progo,0.9960760449937743,4.8315609018296654e-55,0.003908691814214182,1.5263192011529746e-05,0
D I YOGYAKARTA,Bantul,0.9499037550601459,2.6858232257507346e-38,0.050096244939854026,2.701973690761867e-43,0
D I YOGYAKARTA,Gunung Kidul,0.9931051313329357,2.710799971189194e-62,0.006894868667064373,7.047191786730003e-21,0
D I YOGYAKARTA,Sleman,0.004276434617207746,9.335457177503723e-20,0.9957235653827923,8.78490888302038e-161,2
D I YOGYAKARTA,Kota Yogyakarta,0.02247441108760755,5.0065899875379174e-06,0.9775205823224048,3.8413468714845924e-91,2
JAWA TIMUR,Pacitan,0.989027661659633,5.409665326901479e-55,0.01097233829419463,4.617246809297228e-11,0
JAWA TIMUR,Ponorogo,0.9661000677340142,1.6754420048655587e-28,0.03389993226598575,5.763037471502444e-20,0
JAWA TIMUR,Trenggalek,0.9798883248112429,2.705057055806719e-37,0.020111675188754768,2.2584865578987684e-15,0
JAWA TIMUR,Tulungagung,0.3327916034928134,7.062033727196108e-20,0.6672083965071867,6.690734365587901e-87,2
JAWA TIMUR,Blitar,0.5222146600750227,1.9738457201309885e-29,0.47778533992497724,3.628314293444833e-77,0
JAWA TIMUR,Kediri,0.22411914963895474,2.176297970094849e-25,0.7758808503610451,2.191537996698403e-104,2
