Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Klaster
SULAWESI SELATAN,Luwu Utara,3.91,0
SULAWESI SELATAN,Luwu Timur,4.96,2
SULAWESI SELATAN,Toraja Utara,2.61,0
SULAWESI SELATAN,Kota Makassar,13.18,1
SULAWESI SELATAN,Kota Parepare,6.72,2
SULAWESI SELATAN,Kota Palopo,8.83,1
SULAWESI TENGGARA,Buton,4.74,2
SULAWESI TENGGARA,Muna,4.97,2
SULAWESI TENGGARA,Konawe,4.56,2
SULAWESI TENGGARA,Kolaka,3.62,0
SULAWESI TENGGARA,Konawe Selatan,2.14,0
SULAWESI TENGGARA,Bombana,3.17,0
SULAWESI TENGGARA,Wakatobi,2.3,0
SULAWESI TENGGARA,Kolaka Utara,3.18,0
SULAWESI TENGGARA,Buton Utara,3.0,0
SULAWESI TENGGARA,Konawe Utara,3.36,0
SULAWESI TENGGARA,Kolaka Timur,3.44,0
SULAWESI TENGGARA,Konawe Kepulauan,1.83,0
SULAWESI TENGGARA,Muna Barat,2.84,0
SULAWESI TENGGARA,Buton Tengah,3.77,0
SULAWESI TENGGARA,Buton Selatan,3.92,0
SULAWESI TENGGARA,Kota Kendari,5.19,2
SULAWESI TENGGARA,Kota Baubau,6.87,2
GORONTALO,Boalemo,3.57,0
GORONTALO,Gorontalo,2.12,0
GORONTALO,Pohuwato,2.45,0
GORONTALO,Bone Bolango,3.45,0
GORONTALO,Gorontalo Utara,2.3,0
GORONTALO,Kota Gorontalo,4.55,2
SULAWESI BARAT,Majene,2.85,0
SULAWESI BARAT,Polewali Mandar,3.38,0
SULAWESI BARAT,Mamasa,2.18,0
SULAWESI BARAT,Mamuju,3.79,0
SULAWESI BARAT,Mamuju Utara,3.13,0
SULAWESI BARAT,Mamuju Tengah,2.52,0
MALUKU,Maluku Tenggara Barat,4.4,2
MALUKU,Maluku Tenggara,5.06,2
MALUKU,Maluku Tengah,8.07,1
MALUKU,Buru,4.85,2
MALUKU,Kepulauan Aru,1.55,0
MALUKU,Seram Bagian Barat,5.65,2
MALUKU,Seram Bagian Timur,3.88,0
MALUKU,Maluku Barat Daya,1.8,0
MALUKU,Buru Selatan,1.63,0
MALUKU,Kota Ambon,11.32,1
MALUKU,Kota Tual,8.71,1
MALUKU UTARA,Halmahera Barat,3.26,0
MALUKU UTARA,Halmahera Tengah,4.23,2
MALUKU UTARA,Kepulauan Sula,2.78,0
MALUKU UTARA,Halmahera Selatan,1.94,0
MALUKU UTARA,Halmahera Utara,8.01,1
MALUKU UTARA,Halmahera Timur,6.78,2
MALUKU UTARA,Pulau Morotai,6.27,2
MALUKU UTARA,Pulau Taliabu,6.1,2
MALUKU UTARA,Kota Ternate,5.7,2
MALUKU UTARA,Kota Tidore Kepulauan,2.81,0
PAPUA BARAT,Fakfak,7.9,1
PAPUA BARAT,Kaimana,3.23,0
PAPUA BARAT,Teluk Wondama,2.9,0
PAPUA BARAT,Teluk Bintuni,4.74,2
PAPUA BARAT,Manokwari,7.04,2
PAPUA BARAT,Sorong Selatan,3.55,0
