Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Prob_Klaster_4,Prob_Klaster_5,Klaster
LAMPUNG,Mesuji,0.0007601533143100634,0.8542104161634609,1.1412565514161927e-30,0.00029976973559169744,3.129952941279912e-05,0.1446983612572245,1
LAMPUNG,Tulang Bawang Barat,0.000938712459890368,0.8782668063208366,3.2353943638084786e-32,9.867917036400793e-06,6.510420782342578e-05,0.12071950909441322,1
LAMPUNG,Pesisir Barat,0.0009934819811258898,0.46106433418815307,4.1932967809615805e-49,0.5378229127577795,0.0001136457757808315,5.625297160701975e-06,3
LAMPUNG,Kota Bandar Lampung,0.9994237003794029,1.1947301038694807e-18,1.0871464623704869e-07,5.484477706995051e-249,0.0005553100419424298,2.0880864008470672e-05,0
LAMPUNG,Kota Metro,0.007174441343807773,0.15347784352268737,3.077810052098176e-24,0.650333576111023,0.0005836349472067448,0.18843050407527503,3
KEP. BANGKA BELITUNG,Bangka,0.00545264550286283,0.02096181317205527,1.9269328058269134e-15,7.071595536379745e-10,0.004629147070415877,0.9689563935475046,5
KEP. BANGKA BELITUNG,Belitung,0.0007356647406693615,0.8310105753017549,1.2572769666707685e-29,0.0012587387002520245,2.5204952361746835e-05,0.16696981630496194,1
KEP. BANGKA BELITUNG,Bangka Barat,0.0005540223750170296,0.7496062245181521,2.43187190845607e-23,1.8403450898237779e-09,0.00011662215704762043,0.2497231291094381,1
KEP. BANGKA BELITUNG,Bangka Tengah,0.002024276060443306,0.18492325992650505,4.218031191896848e-20,0.06596795003173209,0.00014453188164729956,0.7469399820996723,5
KEP. BANGKA BELITUNG,Bangka Selatan,0.0019400334937466302,0.10144829989271215,1.2152000829356358e-17,0.0739737454739314,0.0001922110532790332,0.8224457100863308,5
KEP. BANGKA BELITUNG,Belitung Timur,0.0010470859950352132,0.7799680502234388,3.2471318343303793e-28,0.024426084045403716,2.9528659321546414e-05,0.1945292510768007,1
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,0.009560178530116353,0.0012514890878174134,2.065461564573191e-12,5.685029955374823e-07,0.007564999484683272,0.981622764392322,5
KEPULAUAN RIAU,Karimun,0.023280946742059556,0.00027429433432194693,2.059663582351388e-12,9.79545231080851e-07,0.02074032419468072,0.955703455181647,5
KEPULAUAN RIAU,Bintan,0.12892761532865377,6.322355566853623e-07,2.486513732213699e-07,8.005463720407903e-20,0.19118108795479347,0.679890415829623,5
KEPULAUAN RIAU,Natuna,0.005696468398676195,0.0666565677538232,1.6488676226408496e-18,1.4605878099280708e-23,0.011068444820092786,0.916578519027408,5
KEPULAUAN RIAU,Lingga,0.002692573117072467,0.16205649565406852,2.9892429329578185e-39,0.8345571829259815,0.0006302313242731109,6.351697860443606e-05,3
KEPULAUAN RIAU,Kepulauan Anambas,0.002315359973485945,0.39347924512298826,1.500190845809574e-41,4.854954975855649e-14,4.91630438142719e-05,0.6041562318596627,5
KEPULAUAN RIAU,Kota Batam,0.08907449750856246,1.9945909470932075e-168,0.9109255024914372,0.0,4.820798823313174e-54,5.149907732319406e-71,2
KEPULAUAN RIAU,Kota Tanjung Pinang,0.04188890869858799,0.010313275824304703,1.3436917898217336e-18,1.4842665021473917e-21,0.1163077595789306,0.8314900558981767,5
DKI JAKARTA,Kepulauan Seribu,0.10274215949898582,8.585034052163707e-09,6.486581220070848e-20,0.1258415105245728,0.7713961395664207,2.0181824986471514e-05,4
DKI JAKARTA,Kota Jakarta Selatan,1.6286329723470622e-41,0.0,1.0,0.0,0.0,0.0,2
DKI JAKARTA,Kota Jakarta Timur,2.7926009072356434e-20,0.0,1.0,0.0,0.0,0.0,2
DKI JAKARTA,Kota Jakarta Pusat,2.326652734173644e-49,0.0,1.0,0.0,0.0,0.0,2
DKI JAKARTA,Kota Jakarta Barat,4.214086665491757e-23,0.0,1.0,0.0,0.0,0.0,2
DKI JAKARTA,Kota Jakarta Utara,2.1565191560830736e-24,0.0,1.0,0.0,0.0,0.0,2
JAWA BARAT,Bogor,0.0001288313796937585,0.0,0.999871168620306,0.0,1.5965826240474843e-124,3.850051849453468e-142,2
