Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
SULAWESI SELATAN,Takalar,6908048,3.93,8.25,0
SULAWESI SELATAN,Gowa,15043696,4.3,7.54,0
SULAWESI SELATAN,Sinjai,7576835,2.61,8.84,0
SULAWESI SELATAN,Maros,12400617,6.3,9.57,0
SULAWESI SELATAN,Pangkajene Dan Kepulauan,17500610,5.86,14.28,0
SULAWESI SELATAN,Barru,5069995,6.74,8.68,0
SULAWESI SELATAN,Bone,23273868,4.15,10.52,0
SULAWESI SELATAN,Soppeng,7585976,3.92,7.53,0
SULAWESI SELATAN,Wajo,13569283,4.32,6.46,0
SULAWESI SELATAN,Sidenreng Rappang,8866074,4.93,5.04,0
SULAWESI SELATAN,Pinrang,13472493,4.06,8.81,0
SULAWESI SELATAN,Enrekang,4884373,2.34,12.47,0
SULAWESI SELATAN,Luwu,10449750,4.8,12.53,0
