Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
KALIMANTAN TIMUR,Penajam Paser Utara,2.95,7.61,0
KALIMANTAN TIMUR,Mahakam Hulu,3.14,11.9,0
KALIMANTAN TIMUR,Kota Balikpapan,8.94,2.89,2
KALIMANTAN TIMUR,Kota Samarinda,8.16,4.99,2
KALIMANTAN TIMUR,Kota Bontang,9.92,4.62,2
KALIMANTAN UTARA,Malinau,4.14,7.3,0
KALIMANTAN UTARA,Bulungan,4.54,10.03,0
KALIMANTAN UTARA,Tana Tidung,5.26,5.15,0
KALIMANTAN UTARA,Nunukan,4.24,6.79,0
KALIMANTAN UTARA,Kota Tarakan,4.94,6.71,0
SULAWESI UTARA,Bolaang Mongondow,4.85,7.58,0
SULAWESI UTARA,Minahasa,6.14,7.67,0
SULAWESI UTARA,Kepulauan Sangihe,4.72,11.02,0
SULAWESI UTARA,Kepulauan Talaud,2.3,9.0,0
SULAWESI UTARA,Minahasa Selatan,4.9,9.37,0
SULAWESI UTARA,Minahasa Utara,8.12,7.11,2
SULAWESI UTARA,Bolaang Mongondow Utara,5.23,8.03,0
SULAWESI UTARA,Siau Tagulandang Biaro,3.39,8.94,0
SULAWESI UTARA,Minahasa Tenggara,3.39,12.47,0
SULAWESI UTARA,Bolaang Mongondow Selatan,4.6,12.85,0
SULAWESI UTARA,Bolaang Mongondow Timur,5.99,6.1,0
SULAWESI UTARA,Kota Manado,12.17,6.19,2
SULAWESI UTARA,Kota Bitung,9.96,6.43,2
SULAWESI UTARA,Kota Tomohon,8.84,5.69,2
SULAWESI UTARA,Kota Kotamobagu,7.32,5.74,2
SULAWESI TENGAH,Banggai Kepulauan,2.95,13.72,0
SULAWESI TENGAH,Banggai,3.57,7.83,0
SULAWESI TENGAH,Morowali,5.08,13.75,0
SULAWESI TENGAH,Poso,2.47,15.92,0
SULAWESI TENGAH,Donggala,3.5,16.73,0
SULAWESI TENGAH,Toli-Toli,3.13,13.51,0
SULAWESI TENGAH,Buol,3.64,14.06,0
SULAWESI TENGAH,Parigi Moutong,2.97,15.28,0
SULAWESI TENGAH,Tojo Una-Una,3.44,16.6,0
SULAWESI TENGAH,Sigi,2.38,13.05,0
SULAWESI TENGAH,Banggai Laut,3.35,14.17,0
SULAWESI TENGAH,Morowali Utara,2.98,13.9,0
SULAWESI TENGAH,Kota Palu,7.61,7.17,2
SULAWESI SELATAN,Kepulauan Selayar,2.81,12.45,0
SULAWESI SELATAN,Bulukumba,3.14,7.43,0
SULAWESI SELATAN,Bantaeng,4.07,9.41,0
SULAWESI SELATAN,Jeneponto,2.38,14.28,0
SULAWESI SELATAN,Takalar,3.93,8.25,0
SULAWESI SELATAN,Gowa,4.3,7.54,0
SULAWESI SELATAN,Sinjai,2.61,8.84,0
SULAWESI SELATAN,Maros,6.3,9.57,0
SULAWESI SELATAN,Pangkajene Dan Kepulauan,5.86,14.28,0
SULAWESI SELATAN,Barru,6.74,8.68,2
SULAWESI SELATAN,Bone,4.15,10.52,0
SULAWESI SELATAN,Soppeng,3.92,7.53,0
SULAWESI SELATAN,Wajo,4.32,6.46,0
SULAWESI SELATAN,Sidenreng Rappang,4.93,5.04,0
SULAWESI SELATAN,Pinrang,4.06,8.81,0
