Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Klaster
JAWA TENGAH,Sragen,27355146,4.76,13.83,89.89,0
JAWA TENGAH,Grobogan,20115534,4.38,12.74,89.37,0
JAWA TENGAH,Blora,18126447,3.81,12.39,90.51,0
JAWA TENGAH,Rembang,13925516,3.67,15.8,89.94,0
JAWA TENGAH,Pati,31559079,4.6,10.21,91.67,0
JAWA TENGAH,Kudus,69556928,3.77,7.6,93.8,0
JAWA TENGAH,Jepara,21944232,4.23,7.44,66.59,0
JAWA TENGAH,Demak,18856416,5.28,12.92,91.38,0
JAWA TENGAH,Semarang,35946100,5.02,7.82,91.01,0
JAWA TENGAH,Temanggung,15387930,2.62,10.17,68.05,0
JAWA TENGAH,Kendal,31632276,7.55,10.24,83.81,0
JAWA TENGAH,Batang,15764266,6.59,9.68,66.96,0
JAWA TENGAH,Pekalongan,16615066,4.28,10.57,78.57,0
JAWA TENGAH,Pemalang,18916262,6.71,16.56,77.89,0
JAWA TENGAH,Tegal,25402911,9.97,8.6,84.23,2
JAWA TENGAH,Brebes,33456328,9.78,17.43,80.1,2
JAWA TENGAH,Kota Magelang,6513895,8.73,7.75,84.04,2
JAWA TENGAH,Kota Surakarta,36211248,7.85,9.4,88.73,2
JAWA TENGAH,Kota Salatiga,9820287,7.26,5.14,98.07,0
JAWA TENGAH,Kota Semarang,144710663,9.54,4.56,93.67,2
JAWA TENGAH,Kota Pekalongan,7601486,6.89,7.59,94.62,0
JAWA TENGAH,Kota Tegal,11290269,8.25,8.12,92.77,2
D I YOGYAKARTA,Kulon Progo,8778800,3.69,18.38,95.95,0
D I YOGYAKARTA,Bantul,19773332,4.04,14.04,96.2,0
D I YOGYAKARTA,Gunung Kidul,14216362,2.2,17.69,96.0,0
D I YOGYAKARTA,Sleman,35786977,5.17,8.64,98.41,0
D I YOGYAKARTA,Kota Yogyakarta,28390085,9.13,7.69,98.17,2
JAWA TIMUR,Pacitan,11107402,2.04,15.11,71.7,0
JAWA TIMUR,Ponorogo,14619969,4.38,10.26,87.49,0
JAWA TIMUR,Trenggalek,12959018,3.53,12.14,75.48,0
JAWA TIMUR,Tulungagung,27390424,4.91,7.51,85.37,0
JAWA TIMUR,Blitar,25700019,3.66,9.65,75.67,0
JAWA TIMUR,Kediri,29361672,5.15,11.64,86.92,0
JAWA TIMUR,Malang,68619103,5.4,10.5,80.79,0
JAWA TIMUR,Lumajang,22623402,3.51,10.05,83.24,0
JAWA TIMUR,Jember,54688719,5.44,10.41,64.17,0
JAWA TIMUR,Banyuwangi,55471065,5.42,8.07,81.15,0
JAWA TIMUR,Bondowoso,13921654,4.46,14.73,52.82,0
JAWA TIMUR,Situbondo,13715834,3.68,12.63,59.79,0
JAWA TIMUR,Probolinggo,23664388,4.55,18.91,62.14,0
JAWA TIMUR,Pasuruan,107630268,6.03,9.7,82.92,2
JAWA TIMUR,Sidoarjo,141000359,10.87,5.93,95.05,2
JAWA TIMUR,Mojokerto,60198699,5.54,10.62,87.34,0
JAWA TIMUR,Jombang,28553448,7.09,10.0,90.95,0
JAWA TIMUR,Nganjuk,18640685,4.98,11.85,81.84,0
JAWA TIMUR,Madiun,13372330,4.99,11.91,89.09,0
JAWA TIMUR,Magetan,13417032,3.86,10.66,88.4,0
JAWA TIMUR,Ngawi,13823456,4.25,15.57,79.35,0
JAWA TIMUR,Bojonegoro,65839509,4.82,13.27,90.96,0
JAWA TIMUR,Tuban,43984689,4.68,16.31,83.8,0
JAWA TIMUR,Lamongan,27896543,4.9,13.86,89.7,0
JAWA TIMUR,Gresik,101318686,8.0,12.42,91.56,2
JAWA TIMUR,Bangkalan,17152779,8.07,21.57,39.44,1
JAWA TIMUR,Sampang,13984568,3.45,23.76,76.22,0
JAWA TIMUR,Pamekasan,11496236,3.1,15.3,70.85,0
JAWA TIMUR,Sumenep,24161351,2.31,20.51,65.66,0
JAWA TIMUR,Kota Kediri,86485594,6.37,7.75,95.75,2
JAWA TIMUR,Kota Blitar,4924572,6.61,7.89,96.77,0
JAWA TIMUR,Kota Malang,53309702,9.65,4.62,87.08,2
JAWA TIMUR,Kota Probolinggo,8361142,6.55,7.44,89.77,0
JAWA TIMUR,Kota Pasuruan,5914585,6.23,6.88,92.1,0
JAWA TIMUR,Kota Mojokerto,4976490,6.87,6.39,95.49,0
JAWA TIMUR,Kota Madiun,10748101,8.15,5.09,97.31,2
JAWA TIMUR,Kota Surabaya,407726799,9.68,5.23,95.2,2
JAWA TIMUR,Kota Batu,11471435,6.57,4.09,95.57,0
BANTEN,Pandeglang,20127757,7.7,10.72,49.11,0
BANTEN,Lebak,21245043,7.86,10.29,56.82,0
BANTEN,Tangerang,97809902,9.06,7.12,85.89,2
BANTEN,Serang,54992522,10.58,5.49,80.34,2
BANTEN,Kota Tangerang,106705227,9.07,5.93,94.94,2
BANTEN,Kota Cilegon,77071368,10.13,4.24,97.07,2
BANTEN,Kota Serang,23374085,9.41,6.79,90.76,2
BANTEN,Kota Tangerang Selatan,62364158,8.6,2.57,98.84,2
BALI,Jembrana,8892801,4.11,5.06,96.24,0
BALI,Tabanan,14516578,3.94,5.12,98.34,0
BALI,Badung,29049519,6.93,2.62,99.59,2
BALI,Gianyar,17254614,6.9,4.85,93.48,0
BALI,Klungkung,5595883,5.35,5.64,95.91,0
BALI,Bangli,4384701,1.8,5.09,87.01,0
BALI,Karang Asem,10570603,2.32,6.78,87.36,0
BALI,Buleleng,21797733,5.38,6.12,94.15,0
BALI,Kota Denpasar,32447056,7.02,2.96,99.97,2
NUSA TENGGARA BARAT,Lombok Barat,10472388,3.32,14.47,74.1,0
NUSA TENGGARA BARAT,Lombok Tengah,12037665,2.33,13.44,79.14,0
NUSA TENGGARA BARAT,Lombok Timur,14410804,2.79,15.38,84.54,0
NUSA TENGGARA BARAT,Sumbawa,10221006,3.39,13.91,88.01,0
NUSA TENGGARA BARAT,Dompu,4979197,3.02,12.6,83.72,0
NUSA TENGGARA BARAT,Bima,8085529,1.58,14.88,81.04,0
NUSA TENGGARA BARAT,Sumbawa Barat,16416012,5.52,13.54,92.93,0
NUSA TENGGARA BARAT,Lombok Utara,3262262,1.75,27.04,79.23,1
NUSA TENGGARA BARAT,Kota Mataram,13476129,5.19,8.65,91.63,0
NUSA TENGGARA BARAT,Kota Bima,2939133,3.56,8.88,90.68,0
NUSA TENGGARA TIMUR,Sumba Barat,1452224,1.74,28.39,54.33,1
NUSA TENGGARA TIMUR,Sumba Timur,4009592,3.35,29.68,69.06,1
NUSA TENGGARA TIMUR,Kupang,4885118,3.99,22.98,74.92,0
NUSA TENGGARA TIMUR,Timor Tengah Selatan,4883924,2.57,26.64,50.15,1
NUSA TENGGARA TIMUR,Timor Tengah Utara,2949220,3.88,22.62,70.03,0
NUSA TENGGARA TIMUR,Belu,3020198,5.35,15.68,71.8,0
NUSA TENGGARA TIMUR,Alor,2045994,2.59,21.09,83.16,0
NUSA TENGGARA TIMUR,Lembata,1180363,4.94,26.21,91.88,0
NUSA TENGGARA TIMUR,Flores Timur,3517877,3.81,11.14,93.06,0
NUSA TENGGARA TIMUR,Sikka,3371315,4.54,13.35,83.14,0
NUSA TENGGARA TIMUR,Ende,4162984,2.61,24.13,86.63,0
NUSA TENGGARA TIMUR,Ngada,2335872,2.99,12.58,91.4,0
NUSA TENGGARA TIMUR,Manggarai,3025880,3.7,20.48,72.84,0
NUSA TENGGARA TIMUR,Rote Ndao,1971699,3.67,28.08,87.53,0
NUSA TENGGARA TIMUR,Manggarai Barat,2296768,4.94,17.92,72.81,0
NUSA TENGGARA TIMUR,Sumba Tengah,767260,1.45,34.27,50.54,1
NUSA TENGGARA TIMUR,Sumba Barat Daya,2355164,2.04,28.18,42.15,1
