Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Klaster
JAWA BARAT,Kota Banjar,0.688715965394305,0.2997261617013144,0.011557872904380656,0
JAWA TENGAH,Cilacap,0.0,1.1863519626161787e-17,1.0,2
JAWA TENGAH,Banyumas,2.3004809539409844e-180,0.43722323597359175,0.5627767640264084,2
JAWA TENGAH,Purbalingga,2.368059770313624e-27,0.9973481436401047,0.0026518563598953255,1
JAWA TENGAH,Banjarnegara,1.0444264104111283e-19,0.9974958621560899,0.0025041378439101688,1
JAWA TENGAH,Kebumen,3.088175120875899e-38,0.9988622916588055,0.0011377083411945696,1
JAWA TENGAH,Purworejo,1.1520354310880333e-13,0.9940060089031145,0.005993991096770298,1
JAWA TENGAH,Wonosobo,1.4042882595952831e-15,0.9989656969264483,0.0010343030735504295,1
JAWA TENGAH,Magelang,1.0585582574756534e-52,0.9800339318313082,0.019966068168691946,1
JAWA TENGAH,Boyolali,6.107912904855108e-51,0.9760840185123193,0.023915981487680628,1
JAWA TENGAH,Klaten,6.110851957892835e-82,0.9674920785636171,0.032507921436383085,1
JAWA TENGAH,Sukoharjo,5.6683047390465625e-74,0.9548928567210139,0.0451071432789861,1
JAWA TENGAH,Wonogiri,1.253244209192527e-41,0.987600834638589,0.012399165361411071,1
JAWA TENGAH,Karanganyar,1.0573810273956625e-70,0.9493739824930604,0.05062601750693956,1
JAWA TENGAH,Sragen,5.991496276467457e-75,0.9772904015319956,0.022709598468004216,1
JAWA TENGAH,Grobogan,2.4122740592550657e-36,0.9903101260614655,0.009689873938534392,1
JAWA TENGAH,Blora,2.7464945688204036e-28,0.9919914377922371,0.00800856220776287,1
JAWA TENGAH,Rembang,3.3777986031061024e-15,0.9976384328557899,0.0023615671442067925,1
JAWA TENGAH,Pati,5.1285463405999015e-101,0.8685410018302017,0.13145899816979834,1
JAWA TENGAH,Kudus,0.0,4.775821913972318e-10,0.9999999995224176,2
JAWA TENGAH,Jepara,2.586757731929436e-42,0.9853748554410265,0.014625144558973461,1
JAWA TENGAH,Demak,6.595429342366272e-31,0.990510779730065,0.009489220269935105,1
JAWA TENGAH,Semarang,4.7974675259512665e-133,0.592174026773219,0.40782597322678105,1
JAWA TENGAH,Temanggung,1.5637362800336657e-18,0.9936925044144395,0.006307495585560652,1
JAWA TENGAH,Kendal,3.4266042605483015e-100,0.813923050189135,0.1860769498108652,1
JAWA TENGAH,Batang,1.2365707104458448e-18,0.9772531335603948,0.022746866439605173,1
JAWA TENGAH,Pekalongan,3.705041554676549e-22,0.990417968361496,0.009582031638504018,1
JAWA TENGAH,Pemalang,5.893738920569555e-32,0.9974441416966658,0.0025558583033344286,1
JAWA TENGAH,Tegal,9.043783446147278e-59,0.7669808354567079,0.23301916454329194,1
JAWA TENGAH,Brebes,5.480196505224999e-118,0.9879017419012135,0.012098258098786644,1
JAWA TENGAH,Kota Magelang,0.27672214005338586,0.5920655590812002,0.13121230086541405,1
JAWA TENGAH,Kota Surakarta,3.7048106920524013e-135,0.49423164890400223,0.5057683510959977,2
JAWA TENGAH,Kota Salatiga,0.00044622987212809557,0.9708184372465418,0.02873533288132986,1
JAWA TENGAH,Kota Semarang,0.0,3.658144147651983e-55,1.0,2
JAWA TENGAH,Kota Pekalongan,0.061936584960090434,0.900485084504787,0.037578330535122606,1
JAWA TENGAH,Kota Tegal,5.244223149556923e-07,0.9239845249293192,0.07601495064836572,1
D I YOGYAKARTA,Kulon Progo,0.0004317137958005841,0.9987926036414313,0.0007756825627682166,1
D I YOGYAKARTA,Bantul,1.9171296613885327e-35,0.9935863681530546,0.00641363184694543,1
D I YOGYAKARTA,Gunung Kidul,1.1465850516239638e-16,0.9989004318619203,0.0010995681380795907,1
D I YOGYAKARTA,Sleman,2.3786956839464902e-132,0.600757913994892,0.39924208600510774,1
