Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Klaster
NUSA TENGGARA TIMUR,Manggarai Barat,2296768,4.94,17.92,64.17,0
NUSA TENGGARA TIMUR,Sumba Tengah,767260,1.45,34.27,61.8,2
NUSA TENGGARA TIMUR,Sumba Barat Daya,2355164,2.04,28.18,62.29,2
NUSA TENGGARA TIMUR,Nagekeo,1406360,0.97,12.91,65.82,0
NUSA TENGGARA TIMUR,Manggarai Timur,2086842,1.96,26.5,61.37,2
NUSA TENGGARA TIMUR,Sabu Raijua,785138,1.25,30.13,57.03,2
NUSA TENGGARA TIMUR,Malaka,1915540,3.43,16.33,60.42,0
NUSA TENGGARA TIMUR,Kota Kupang,16530278,9.76,9.17,79.74,1
KALIMANTAN BARAT,Sambas,13948120,3.97,7.66,67.1,0
KALIMANTAN BARAT,Bengkayang,5842930,4.42,6.48,68.04,0
KALIMANTAN BARAT,Landak,7312662,3.22,10.99,66.21,0
KALIMANTAN BARAT,Pontianak,5466323,7.71,5.18,66.03,0
KALIMANTAN BARAT,Sanggau,13790449,3.45,4.55,66.2,0
KALIMANTAN BARAT,Ketapang,18848703,6.94,10.13,67.43,0
KALIMANTAN BARAT,Sintang,9731976,3.95,9.28,66.93,0
KALIMANTAN BARAT,Kapuas Hulu,6510868,4.18,8.93,65.75,0
KALIMANTAN BARAT,Sekadau,4435321,2.92,6.26,64.93,0
KALIMANTAN BARAT,Melawi,3500136,2.66,12.01,65.87,0
KALIMANTAN BARAT,Kayong Utara,2632989,3.78,9.33,62.9,0
KALIMANTAN BARAT,Kubu Raya,18754974,7.02,4.34,68.16,0
KALIMANTAN BARAT,Kota Pontianak,24919417,12.38,4.58,79.93,1
KALIMANTAN BARAT,Kota Singkawang,6977774,9.16,4.83,72.11,1
KALIMANTAN TENGAH,Kotawaringin Barat,13733984,4.7,3.95,73.07,0
KALIMANTAN TENGAH,Kotawaringin Timur,18269734,5.15,5.91,71.38,0
KALIMANTAN TENGAH,Kapuas,11306032,4.91,5.35,69.63,0
KALIMANTAN TENGAH,Barito Selatan,4326702,4.16,4.62,70.54,0
KALIMANTAN TENGAH,Barito Utara,7151778,5.14,5.61,70.79,0
KALIMANTAN TENGAH,Sukamara,3043322,4.65,3.66,68.27,0
KALIMANTAN TENGAH,Lamandau,3968760,2.3,3.56,70.58,0
KALIMANTAN TENGAH,Seruyan,6033556,4.25,7.22,67.67,0
KALIMANTAN TENGAH,Katingan,5087479,5.5,5.25,68.89,0
KALIMANTAN TENGAH,Pulang Pisau,3596824,2.6,4.24,68.53,0
KALIMANTAN TENGAH,Gunung Mas,3804709,3.11,5.35,71.03,0
KALIMANTAN TENGAH,Barito Timur,5336339,3.22,6.38,71.47,0
KALIMANTAN TENGAH,Murung Raya,5975994,3.03,6.15,68.12,0
KALIMANTAN TENGAH,Kota Palangka Raya,11031469,5.86,3.75,80.82,1
KALIMANTAN SELATAN,Tanah Laut,10516399,3.52,4.57,69.87,0
KALIMANTAN SELATAN,Kota Baru,17887219,5.57,4.86,69.13,0
KALIMANTAN SELATAN,Banjar,12108903,3.98,3.04,69.89,0
KALIMANTAN SELATAN,Barito Kuala,5942832,3.22,5.11,66.64,0
KALIMANTAN SELATAN,Tapin,6575521,4.96,3.6,70.31,0
KALIMANTAN SELATAN,Hulu Sungai Selatan,4844532,2.44,4.84,69.21,0
KALIMANTAN SELATAN,Hulu Sungai Tengah,4978193,3.76,6.18,69.05,0
KALIMANTAN SELATAN,Hulu Sungai Utara,3409822,4.8,6.83,66.12,0
KALIMANTAN SELATAN,Tabalong,14957253,3.43,6.27,72.6,0
